"city_cn","year","city_code","city_invest","city_tech","city_edu","city_industry"
"承德",2013,"130800",26175.43,0.0081756059021762,0.201848833046869,0.3238
"承德",2014,"130800",25432.06,0.00656651486352266,0.182947429347052,0.332
"承德",2015,"130800",29253.6,0.00533267700385594,0.19497771214483,0.3582
"承德",2016,"130800",30375.31,0.00793407540532097,0.200008493740475,0.3768
"承德",2017,"130800",33763.82,0.00633814538757759,0.192809936790328,NA
"承德",2018,"130800",37716.58,0.00636324926597268,0.187980988732276,0.4568
"承德",2019,"130800",42182.39,0.00443312955951524,0.186583548253193,0.4653
"承德",2020,"130800",44916.23,0.00610024483354903,0.181061945759918,0.4619
"承德",2021,"130800",42116.5,0.00631581446701412,0.193880545629385,0.4396
"承德",2022,"130800",43640,NA,NA,NA
"沧州",2003,"130900",4359.33,0.00389968183184113,0.259854151899489,0.3272
"沧州",2004,"130900",5019.98,0.00398407961784708,0.258074733365472,0.3383
"沧州",2005,"130900",6297.02,0.00349371607522288,0.258123683901274,0.3463
"沧州",2006,"130900",8059.71,0.00297777463457122,0.221630803093412,0.351
"沧州",2007,"130900",10057.53,0.00805366725229753,0.265852550278249,0.3682
"沧州",2008,"130900",12498.98,0.00728059409647827,0.301154174180613,0.3775
"沧州",2009,"130900",15754.13,0.00641101730149491,0.26170597805147,0.3975
"沧州",2010,"130900",21313.43,0.00553641530246422,0.234829400992707,0.3791
"沧州",2011,"130900",26435.08,0.00427462296312324,0.205702044404632,0.36
"沧州",2012,"130900",31157.44,0.0047500693253361,0.236782611151622,0.3606
"沧州",2013,"130900",35241.13,0.0058738184615533,0.199964927344838,0.3734
"沧州",2014,"130900",38127.03,0.00917983908004374,0.197462272828489,0.3789
"沧州",2015,"130900",48482.96,0.00381577362438267,0.213384248816491,0.408
"沧州",2016,"130900",50489.78,0.00863541096831874,0.211291869364454,0.417
"沧州",2017,"130900",55048.03,0.00837450495503654,0.221757436187998,NA
"沧州",2018,"130900",62225.22,0.00927276753702116,0.209938028342849,0.4952
"沧州",2019,"130900",68630.22,0.0071979952854588,0.219551969963086,0.5198
"沧州",2020,"130900",73505.04,0.00804026499407388,0.211949547949365,0.5273
"沧州",2021,"130900",66876.61,0.00897174662411866,0.23397418021039,0.5049
"沧州",2022,"130900",70950,NA,NA,NA
"廊坊",2003,"131000",3270.58,0.00458634248359618,0.248267891322029,0.3028
"廊坊",2004,"131000",3963.87,0.00479329544107148,0.240441790472442,0.3087
"廊坊",2005,"131000",4798.09,0.00437674157841975,0.250051583025746,0.2969
"廊坊",2006,"131000",6074.83,0.00378611417932683,0.213492394025841,0.2946
"廊坊",2007,"131000",8417.08,0.0162764284051001,0.212197103983804,0.3017
"廊坊",2008,"131000",10654.8,0.0139843075421406,0.236936404249728,0.3106
"廊坊",2009,"131000",13214.76,0.0155886296837778,0.215822307783115,0.3452
"廊坊",2010,"131000",17963.96,0.0130817481223516,0.192329530905212,0.3477
"廊坊",2011,"131000",22794.61,0.0122397356217106,0.190522671807063,0.3485
"廊坊",2012,"131000",26803.78,0.0125728535303603,0.209831971460742,0.3496
"廊坊",2013,"131000",29243.16,0.010805945732267,0.183384764163654,0.3716
"廊坊",2014,"131000",30251.03,0.00971867734751511,0.177903033384318,0.425
"廊坊",2015,"131000",48194.46,0.00863169750216104,0.153916031012693,0.471
"廊坊",2016,"131000",50890.37,0.0150323135791703,0.155051142288806,0.486
"廊坊",2017,"131000",58270.35,0.0114638062067587,0.166308079494975,NA
"廊坊",2018,"131000",62035.06,0.00902715335489319,0.173953406347959,0.5706
"廊坊",2019,"131000",63976.82,0.0116135812939749,0.193384729031546,0.6044
"廊坊",2020,"131000",65189.1,0.0142355086970061,0.190828834881905,0.6234
"廊坊",2021,"131000",64248.99,0.0146617090790065,0.196049307545535,0.6032
"廊坊",2022,"131000",60480,NA,NA,NA
"衡水",2003,"131100",2346.38,0.00340950741141674,0.261594456140949,0.2857
"衡水",2004,"131100",2906.02,0.00344113254554339,0.241763649252242,0.2917
"衡水",2005,"131100",3929.98,0.00254454221141075,0.226016417386348,0.296
"衡水",2006,"131100",4405.63,0.00249680522422446,0.212648361301335,0.3013
"衡水",2007,"131100",5558.08,0.00719672980597616,0.235081179112211,0.3293
"衡水",2008,"131100",6677.67,0.00733788881451165,0.235740909628658,0.3368
"衡水",2009,"131100",9041.15,0.00608329692572294,0.229503990089756,0.3035
"衡水",2010,"131100",11209.91,0.00597685440828695,0.199257621158421,0.2963
"衡水",2011,"131100",13741.87,0.00487561008800112,0.2169850246,0.2865
"衡水",2012,"131100",16080.95,0.00453953280123376,0.228517593798874,0.2958
"衡水",2013,"131100",18556.49,0.00425727063684996,0.183650571848448,0.321
"衡水",2014,"131100",24257.47,0.00338040199575636,0.151012451009936,0.3765
"衡水",2015,"131100",26892.96,0.00316067848239837,0.16156049761722,0.4
"衡水",2016,"131100",30277.87,0.00561466179754388,0.165291349754788,0.3996
"衡水",2017,"131100",29828.86,0.0104596689246589,0.188087643979689,NA
"衡水",2018,"131100",35920.82,0.0125832316745553,0.167611708195971,0.4612
"衡水",2019,"131100",39427.64,0.0141271453224185,0.173756785848709,0.529
"衡水",2020,"131100",41985.3,0.0159579662405651,0.170500389422012,0.5353
"衡水",2021,"131100",39541.05,0.0149464923162131,0.172693441372953,0.5179
"衡水",2022,"131100",42210,NA,NA,NA
"太原",2003,"140100",4277.2,0.0028055737398298,0.139892920602263,0.4474
"太原",2004,"140100",5718.83,0.00279777506937608,0.127218329623367,0.4209
"太原",2005,"140100",7183.9,0.00292320327398767,0.129141552638539,0.5088
"太原",2006,"140100",9542.38,0.00303907410939409,0.126817418715247,0.5116
"太原",2007,"140100",15580.29,0.0222075455591648,0.128073996055272,0.4722
"太原",2008,"140100",15285.53,0.0269535959826058,0.169949619018771,0.4809
"太原",2009,"140100",15990.51,0.0232637983403906,0.179727851081673,0.5443
"太原",2010,"140100",18963.58,0.0247843497904931,0.189569163628387,0.5339
"太原",2011,"140100",23931.47,0.0324259228538824,0.187097157007071,0.5274
"太原",2012,"140100",27776.13,0.0344180416782323,0.198145674001382,0.5364
"太原",2013,"140100",31910.9,0.0354110977753683,0.171500333741762,0.548
"太原",2014,"140100",32269.34,0.0438496727853746,0.163361568597312,0.5847
"太原",2015,"140100",41999.13,0.0304768217817845,0.147831157454928,0.6134
"太原",2016,"140100",42406.66,0.0196195597578305,0.16586073979889,0.6257
"太原",2017,"140100",47905.58,0.0386802539495399,0.152384127277031,NA
"太原",2018,"140100",54245.89,0.046160179139839,0.14896925831616,0.619
"太原",2019,"140100",61055.3,0.037998339210519,0.136048631322752,0.6124
"太原",2020,"140100",64734.48,0.0533409706851743,0.141424940773449,0.6301
"太原",2021,"140100",62898.57,0.0547071260920558,0.155954578935578,0.5787
"太原",2022,"140100",71590,NA,NA,NA
"大同",2003,"140200",3088.86,0.00388492842019386,0.193527709251957,0.3623
"大同",2004,"140200",3697.29,0.003516088810994,0.185400658320013,0.3425
"大同",2005,"140200",4690.07,0.00213216433869857,0.185438596865292,0.4022
"大同",2006,"140200",5672,0.00211565585331453,0.189890691114245,0.4184
"大同",2007,"140200",7457.17,0.00831414598299355,0.209944254992175,0.4187
"大同",2008,"140200",9929.03,0.00765432272840348,0.219254045964208,0.4174
"大同",2009,"140200",11111.42,0.00629982486486876,0.25935478993684,0.4709
"大同",2010,"140200",13277.51,0.00677837937986867,0.250284127069006,0.461
"大同",2011,"140200",16920.81,0.00626447551860697,0.200941326094909,0.4376
"大同",2012,"140200",18655.65,0.00557471865091809,0.237327565643652,0.4396
"大同",2013,"140200",23405.74,0.00495604924262168,0.170515437666145,0.4725
"大同",2014,"140200",22178.8,0.00581636517755695,0.174476978015041,0.4983
"大同",2015,"140200",29080.3,0.0026822281750876,0.193202270953188,0.5285
"大同",2016,"140200",28588.86,0.00314807935678443,0.189727747101493,0.5765
"大同",2017,"140200",32550.52,0.00675872459180376,0.166134980332111,NA
"大同",2018,"140200",33399.06,0.00655707076785993,0.155279519842774,0.584
"大同",2019,"140200",36336.27,0.00621968077626019,0.148919247902991,0.574
"大同",2020,"140200",38817.52,0.00600244425712926,0.14108835391854,0.5788
"大同",2021,"140200",37418.1,0.00320700409694773,0.144774854949877,0.5148
"大同",2022,"140200",40120,NA,NA,NA
"阳泉",2003,"140300",1257.79,0.00318018111131429,0.20568616382703,0.3755
"阳泉",2004,"140300",1589.1,0.00251714807123529,0.196243156503681,0.3562
"阳泉",2005,"140300",2005,0.00249376558603491,0.19402493765586,0.406
"阳泉",2006,"140300",2562.41,0.00195128804523866,0.188299296365531,0.3895
"阳泉",2007,"140300",3351.91,0.0131268440978427,0.21285177704652,0.3905
"阳泉",2008,"140300",4063.74,0.0132882517090168,0.210099563456323,0.3916
"阳泉",2009,"140300",4896.85,0.012252774742947,0.214158081215475,0.4118
"阳泉",2010,"140300",5959.62,0.0120813071974388,0.196893426090925,0.3901
"阳泉",2011,"140300",7170.3,0.010459813396929,0.218525026846854,0.3896
"阳泉",2012,"140300",8840.8,0.0109718577504298,0.247217446384943,0.3959
"阳泉",2013,"140300",8645.55,0.0106413125827738,0.218359734198518,0.4063
"阳泉",2014,"140300",8690.75,0.00955038402899635,0.222002704024394,0.4358
"阳泉",2015,"140300",10071.01,0.00575910459824784,0.211553756773154,0.485
"阳泉",2016,"140300",9573.03,0.00553638712090111,0.214508885901329,0.5031
"阳泉",2017,"140300",10605.61,0.00858036454291644,0.202647466765231,NA
"阳泉",2018,"140300",12393.46,0.0052447016410268,0.161414165212943,0.5152
"阳泉",2019,"140300",13226.5,0.00559482856386799,0.158822061769932,0.5283
"阳泉",2020,"140300",15461.27,0.00569164111356958,0.136598093170871,0.535
"阳泉",2021,"140300",12789.01,0.00891390342176603,0.16485638841474,0.4667
"阳泉",2022,"140300",15850,NA,NA,NA
"长治",2003,"140400",2763.48,0.00325676321160276,0.210821138564419,0.2924
"长治",2004,"140400",3475.41,0.00287735835484159,0.200082867920619,0.2734
"长治",2005,"140400",4739.92,0.00274266232341474,0.19596955222873,0.3491
"长治",2006,"140400",6979.79,0.00200579100517351,0.152911477279402,0.3502
"长治",2007,"140400",7883.98,0.0116692330523416,0.233013021342013,0.3456
"长治",2008,"140400",9714.93,0.0100875662511207,0.205509458122704,0.3177
"长治",2009,"140400",11265.39,0.0105633271462417,0.212195050504244,0.3268
"长治",2010,"140400",13586.57,0.0107459056995253,0.206391311420027,0.3024
"长治",2011,"140400",17603.25,0.0131225767968983,0.186634286282363,0.2809
"长治",2012,"140400",20186.65,0.0127807238942568,0.220335716921827,0.2862
"长治",2013,"140400",24587.99,0.0114690139372921,0.167554566274022,0.3074
"长治",2014,"140400",24402.02,0.006024091448167,0.160642848419926,0.3729
"长治",2015,"140400",24156.36,0.00670630840076899,0.189497921044396,0.4401
"长治",2016,"140400",23434.37,0.015063344992846,0.193133845714649,0.4425
